rank,player_1_name,player_2_name,team,goals
1,Alexis Sánchez,Mesut Özil,Arsenal,7
2,Harry Kane,Christian Eriksen,Tottenham Hotspur,7
3,Fernando Llorente,Gylfi Sigurdsson,Swansea City,6
4,Harry Kane,Son Heung-min,Tottenham Hotspur,6
5,Roberto Firmino,Sadio Mané,Liverpool,6
