rank,player_name,team,goals
1,Pierre-Emerick Aubameyang,Arsenal,22
2,Sadio Mané,Liverpool,22
3,Mohamed Salah,Liverpool,22
4,Sergio Agüero,Manchester City,21
5,Jamie Vardy,Leicester City,18
