rank,player_name,team,goals
1,Jamie Vardy,Leicester City,23
2,Pierre-Emerick Aubameyang,Arsenal,22
3,Danny Ings,Southampton,22
4,Raheem Sterling,Manchester City,20
5,Mohamed Salah,Liverpool,19
