rank,player_name,team,goals
1,Harry Kane,Tottenham Hotspur,29
2,Romelu Lukaku,Everton,25
3,Alexis Sánchez,Arsenal,24
4,Diego Costa,Chelsea,20
5,Sergio Agüero,Manchester City,20
