rank,player_name,team,goals
1,Son Heung-min,Tottenham Hotspur,23
2,Mohamed Salah,Liverpool,23
3,Cristiano Ronaldo,Manchester United,18
4,Harry Kane,Tottenham Hotspur,17
5,Sadio Mané,Liverpool,16
