rank,player_name,team,goals
1,Harry Kane,Tottenham Hotspur,23
2,Mohamed Salah,Liverpool,22
3,Bruno Fernandes,Manchester United,18
4,Son Heung-min,Tottenham Hotspur,17
5,Patrick Bamford,Leeds United,17
