rank,player_1_name,player_2_name,team,goals
1,Jacob Murphy,Alexander Isak,Newcastle United,8
2,Ollie Watkins,Morgan Rogers,Aston Villa,7
3,Mohamed Salah,Cody Gakpo,Liverpool,6
4,Mohamed Salah,Dominik Szoboszlai,Liverpool,6
5,Yoane Wissa,Bryan Mbeumo,Brentford,6
