season_label,minute,label,matches
2020-21,72,72,0
2020-21,73,73,4
2020-21,74,74,0
2020-21,75,75,0
2020-21,76,76,2
2020-21,77,77,1
2020-21,78,78,1
2020-21,79,79,2
2020-21,80,80,3
2020-21,81,81,0
2020-21,82,82,0
2020-21,83,83,1
2020-21,84,84,1
2020-21,85,85,0
2020-21,86,86,2
2020-21,87,87,0
2020-21,88,88,3
2020-21,89,89,0
2020-21,90,90,0
2020-21,91,90+,5
2021-22,1,1,1
2021-22,2,2,5
2021-22,3,3,9
2021-22,4,4,9
2021-22,5,5,14
2021-22,6,6,8
2021-22,7,7,12
2021-22,8,8,12
2021-22,9,9,11
2021-22,10,10,12
2021-22,11,11,2
2021-22,12,12,9
2021-22,13,13,10
2021-22,14,14,6
2021-22,15,15,7
2021-22,16,16,7
2021-22,17,17,2
2021-22,18,18,4
2021-22,19,19,7
2021-22,20,20,6
2021-22,21,21,6
2021-22,22,22,8
2021-22,23,23,2
2021-22,24,24,5
2021-22,25,25,3
2021-22,26,26,4
2021-22,27,27,8
2021-22,28,28,9
2021-22,29,29,3
2021-22,30,30,7
2021-22,31,31,4
2021-22,32,32,5
2021-22,33,33,4
2021-22,34,34,4
2021-22,35,35,3
2021-22,36,36,2
2021-22,37,37,5
2021-22,38,38,2
2021-22,39,39,6
2021-22,40,40,4
2021-22,41,41,4
2021-22,42,42,3
2021-22,43,43,2
2021-22,44,44,5
2021-22,45,45,2
2021-22,46,46,3
2021-22,47,47,5
2021-22,48,48,9
2021-22,49,49,4
2021-22,50,50,1
2021-22,51,51,2
2021-22,52,52,1
2021-22,53,53,5
2021-22,54,54,2
2021-22,55,55,4
2021-22,56,56,7
2021-22,57,57,0
2021-22,58,58,1
2021-22,59,59,3
2021-22,60,60,1
2021-22,61,61,4
2021-22,62,62,3
2021-22,63,63,1
2021-22,64,64,0
2021-22,65,65,1
2021-22,66,66,3
2021-22,67,67,2
2021-22,68,68,1
2021-22,69,69,2
2021-22,70,70,3
2021-22,71,71,1
2021-22,72,72,2
2021-22,73,73,0
2021-22,74,74,2
2021-22,75,75,2
2021-22,76,76,1
2021-22,77,77,1
2021-22,78,78,1
2021-22,79,79,0
2021-22,80,80,1
2021-22,81,81,0
2021-22,82,82,3
2021-22,83,83,0
2021-22,84,84,1
2021-22,85,85,1
2021-22,86,86,0
2021-22,87,87,0
2021-22,88,88,1
2021-22,89,89,2
2021-22,90,90,3
2021-22,91,90+,5
2022-23,1,1,10
2022-23,2,2,6
2022-23,3,3,8
2022-23,4,4,5
2022-23,5,5,13
2022-23,6,6,9
2022-23,7,7,9
2022-23,8,8,7
2022-23,9,9,7
2022-23,10,10,11
2022-23,11,11,8
2022-23,12,12,6
2022-23,13,13,4
2022-23,14,14,8
2022-23,15,15,7
2022-23,16,16,8
2022-23,17,17,8
2022-23,18,18,6
2022-23,19,19,9
2022-23,20,20,10
2022-23,21,21,4
2022-23,22,22,7
2022-23,23,23,6
2022-23,24,24,5
2022-23,25,25,5
2022-23,26,26,2
2022-23,27,27,10
2022-23,28,28,5
2022-23,29,29,2
2022-23,30,30,5
2022-23,31,31,6
2022-23,32,32,7
2022-23,33,33,5
2022-23,34,34,5
2022-23,35,35,6
2022-23,36,36,4
2022-23,37,37,2
2022-23,38,38,6
2022-23,39,39,5
2022-23,40,40,4
2022-23,41,41,4
2022-23,42,42,0
2022-23,43,43,1
2022-23,44,44,2
2022-23,45,45,3
2022-23,46,46,11
2022-23,47,47,5
2022-23,48,48,6
2022-23,49,49,4
2022-23,50,50,4
2022-23,51,51,2
2022-23,52,52,1
2022-23,53,53,2
2022-23,54,54,5
2022-23,55,55,2
2022-23,56,56,5
2022-23,57,57,1
2022-23,58,58,2
2022-23,59,59,2
2022-23,60,60,2
2022-23,61,61,0
2022-23,62,62,2
2022-23,63,63,4
2022-23,64,64,3
2022-23,65,65,2
2022-23,66,66,2
2022-23,67,67,1
2022-23,68,68,1
2022-23,69,69,1
2022-23,70,70,0
2022-23,71,71,1
2022-23,72,72,0
2022-23,73,73,1
2022-23,74,74,1
2022-23,75,75,0
2022-23,76,76,2
2022-23,77,77,2
2022-23,78,78,1
2022-23,79,79,0
2022-23,80,80,1
2022-23,81,81,1
2022-23,82,82,1
2022-23,83,83,0
2022-23,84,84,0
2022-23,85,85,1
2022-23,86,86,0
2022-23,87,87,2
2022-23,88,88,1
2022-23,89,89,1
2022-23,90,90,0
2022-23,91,90+,1
2023-24,1,1,6
2023-24,2,2,7
2023-24,3,3,12
2023-24,4,4,11
2023-24,5,5,9
2023-24,6,6,11
2023-24,7,7,10
