rank,player_name,team,goals
1,Erling Haaland,Manchester City,27
2,Igor Thiago,Brentford,22
3,Antoine Semenyo,"Bournemouth, Manchester City",17
4,Ollie Watkins,Aston Villa,16
5,Morgan Gibbs-White,Nottingham Forest,15
