team_name,team_abbr,season_label,comeback_count
Fulham,FUL,2024-25,5
Manchester City,MCI,2023-24,5
Manchester United,MUN,2020-21,5
Aston Villa,AVL,2025-26,4
Brighton and Hove Albion,BHA,2024-25,4
Wolverhampton Wanderers,WOL,2019-20,4
Arsenal,ARS,2007-08,4
Chelsea,CHE,2002-03,4
Arsenal,ARS,2001-02,4
Queens Park Rangers,QPR,1992-93,4
