rank,player_1_name,player_2_name,team,goals
1,Callum Wilson,Ryan Fraser,Bournemouth,12
2,Raúl Jiménez,Diogo Jota,Wolverhampton Wanderers,8
3,Raheem Sterling,Leroy Sané,Manchester City,8
4,Sergio Agüero,Raheem Sterling,Manchester City,7
5,Salomón Rondón,Ayoze Pérez,Newcastle United,7
