rank,player_1_name,player_2_name,team,goals
1,Harry Kane,Son Heung-min,Tottenham Hotspur,14
2,Bruno Fernandes,Marcus Rashford,Manchester United,7
3,Michail Antonio,Jesse Lingard,West Ham United,5
4,Jack Grealish,Ollie Watkins,Aston Villa,5
5,Gareth Bale,Harry Kane,Tottenham Hotspur,4
