manager_name,team_id,games,wins,draws,losses,win_pct
Brian Horton,43,79,21,29,29,26.6
Brian Kidd,5,23,5,11,7,21.7
Brian Kidd,43,2,1,0,1,50.0
Brian Laws,90,18,3,1,14,16.7
Brian Little,7,130,51,36,43,39.2
Brian Little,13,14,2,3,9,14.3
Brian McDermott,108,29,5,8,16,17.2
Bruce Rioch,3,38,17,12,9,44.7
Bruno Lage,39,46,16,9,21,34.8
Bruno Saltor,8,1,0,1,0,0.0
Bryan Robson,25,168,49,52,67,29.2
Bryan Robson,35,64,12,19,33,18.8
Calum McFarlane,8,6,1,2,3,16.7
Carlo Ancelotti,8,76,48,13,15,63.2
Carlo Ancelotti,11,58,25,14,19,43.1
Carlos Carvalhal,80,18,5,5,8,27.8
Chris Coleman,54,152,50,39,63,32.9
Chris Hughton,36,76,18,22,36,23.7
Chris Hughton,45,71,18,22,31,25.4
Chris Hughton,4,19,5,4,10,26.3
Chris Hughton,6,4,1,2,1,25.0
Chris Hutchings,111,12,2,2,8,16.7
Chris Hutchings,55,12,1,4,7,8.3
Chris Ramsey,52,15,3,2,10,20.0
Chris Wilder,49,90,20,19,51,22.2
Christian Gross,6,26,9,7,10,34.6
Claude Puel,13,56,19,13,24,33.9
Claude Puel,20,38,12,10,16,31.6
Claudio Ranieri,8,146,76,37,33,52.1
Claudio Ranieri,13,63,28,18,17,44.4
Claudio Ranieri,54,16,3,3,10,18.8
Claudio Ranieri,57,13,2,1,10,15.4
Colin Todd,30,54,15,14,25,27.8
Colin Todd,24,15,4,2,9,26.7
Craig Shakespeare,13,21,8,5,8,38.1
Cristian Stellini,6,4,1,1,2,25.0
Daniel Farke,45,49,6,8,35,12.2
Daniel Farke,2,38,11,14,13,28.9
Danny Wilson,19,67,18,13,36,26.9
Danny Wilson,37,38,10,5,23,26.3
Darren Fletcher,1,1,0,1,0,0.0
Darren Moore,35,6,3,2,1,50.0
Dave Bassett,49,84,22,28,34,26.2
Dave Bassett,13,26,3,8,15,11.5
Dave Bassett,17,21,2,7,12,9.5
Dave Jones,20,98,31,19,48,31.6
Dave Jones,39,38,7,12,19,18.4
Dave Merrington,20,38,9,11,18,23.7
Dave Watson,11,7,1,3,3,14.3
David Kerslake,97,2,0,1,1,0.0
David Moyes,11,484,194,140,150,40.1
David Moyes,21,198,73,47,78,36.9
David Moyes,56,38,6,6,26,15.8
David Moyes,1,34,17,6,11,50.0
David O'Leary,2,145,75,34,36,51.7
David O'Leary,7,114,37,34,43,32.5
David Pleat,19,89,26,28,35,29.2
David Pleat,6,35,14,5,16,40.0
David Unsworth,11,6,3,1,2,50.0
David Wagner,38,60,11,15,34,18.3
David Webb,8,13,5,4,4,38.5
Dean Smith,7,87,28,16,43,32.2
Dean Smith,45,27,4,5,18,14.8
Dean Smith,13,8,2,3,3,25.0
Dick Advocaat,56,17,3,6,8,17.6
Doug Livermore,6,42,16,11,15,38.1
Duncan Ferguson,11,4,1,2,1,25.0
Eddie Gray,2,26,6,7,13,23.1
Eddie Howe,91,190,56,43,91,29.5
Eddie Howe,4,179,84,38,57,46.9
Egil Olsen,1736,36,7,11,18,19.4
Enzo Maresca,8,57,28,15,14,49.1
Eric Black,7,7,0,1,6,0.0
Eric Black,41,1,0,0,1,0.0
Erik ten Hag,1,85,44,14,27,51.8
Fabian Hürzeler,36,76,30,24,22,39.5
Felix Magath,54,12,3,3,6,25.0
Francesco Guidolin,80,24,9,5,10,37.5
Frank Barlow,111,2,0,0,2,0.0
Frank Burrows,35,2,0,1,1,0.0
Frank Clark,17,97,38,31,28,39.2
Frank Lampard,8,66,29,13,24,43.9
Frank Lampard,11,38,9,8,21,23.7
Frank de Boer,31,4,0,0,4,0.0
Freddie Ljungberg,3,5,1,2,2,20.0
Gareth Southgate,25,114,29,33,52,25.4
Garry Monk,80,67,24,16,27,35.8
Gary McAllister,7,5,2,2,1,40.0
Gary Megson,30,84,23,22,39,27.4
Gary Megson,35,50,7,15,28,14.0
Gary O'Neil,39,54,15,10,29,27.8
Gary O'Neil,91,34,10,6,18,29.4
George Burley,40,98,33,17,48,33.7
George Graham,3,113,42,38,33,37.2
George Graham,6,97,32,29,36,33.0
George Graham,2,78,28,25,25,35.9
Gerry Francis,6,119,43,36,40,36.1
Gerry Francis,52,98,36,28,34,36.7
Gianfranco Zola,21,72,20,20,32,27.8
Gianluca Vialli,8,94,45,29,20,47.9
Glenn Hoddle,8,122,38,41,43,31.1
Glenn Hoddle,6,89,32,18,39,36.0
Glenn Hoddle,20,45,18,11,16,40.0
Glenn Roeder,21,74,23,19,32,31.1
Glenn Roeder,4,52,21,11,20,40.4
Gordon Strachan,9,178,51,51,76,28.7
Gordon Strachan,20,93,31,29,33,33.3
Graeme Jones,4,3,0,2,1,0.0
Graeme Souness,5,118,40,32,46,33.9
Graeme Souness,14,68,28,18,22,41.2
Graeme Souness,4,56,16,17,23,28.6
Graeme Souness,20,38,10,11,17,26.3
Graham Potter,36,120,34,44,42,28.3
Graham Potter,21,23,6,5,12,26.1
Graham Potter,8,22,7,7,8,31.8
Graham Taylor,7,51,15,13,23,29.4
Graham Taylor,57,38,6,6,26,15.8
Gus Poyet,56,60,14,21,25,23.3
Guus Hiddink,8,35,19,12,4,54.3
Gérard Houllier,14,204,98,51,55,48.0
Gérard Houllier,7,30,8,10,12,26.7
Harry Redknapp,21,269,94,71,104,34.9
Harry Redknapp,47,158,58,38,62,36.7
Harry Redknapp,6,144,71,37,36,49.3
Harry Redknapp,52,49,9,13,27,18.4
Harry Redknapp,20,22,4,8,10,18.2
Hayden Mullins,57,4,0,1,3,0.0
Howard Kendall,11,97,30,24,43,30.9
Howard Wilkinson,2,169,64,52,53,37.9
Howard Wilkinson,56,20,2,5,13,10.0
Iain Dowie,31,38,7,12,19,18.4
Iain Dowie,33,12,2,2,8,16.7
Iain Dowie,88,9,1,3,5,11.1
Ian Branfoot,20,66,18,14,34,27.3
Ian Holloway,92,38,10,9,19,26.3
Ian Holloway,31,8,1,0,7,12.5
Ian Porterfield,8,29,9,10,10,31.0
Igor Tudor,6,5,0,1,4,0.0
Ivan Jurić,20,14,1,1,12,7.1
Jacques Santini,6,11,3,4,4,27.3
James Collins,39,1,0,0,1,0.0
Jan Siewert,38,15,1,2,12,6.7
Javi Gracia,57,56,18,12,26,32.1
Javi Gracia,2,11,3,2,6,27.3
Jean Tigana,54,71,20,22,29,28.2
Jesse Marsch,2,32,8,9,15,25.0
Jim Barron,7,1,1,0,0,100.0
Jim Jefferies,55,24,4,7,13,16.7
Jim Smith,24,197,60,58,79,30.5
Jimmy Gabriel,11,8,1,1,6,12.5
Joe Jordan,47,2,0,0,2,0.0
Joe Kinnear,1736,278,92,82,104,33.1
Joe Kinnear,4,24,5,10,9,20.8
Joe Royle,11,97,36,31,30,37.1
Joe Royle,105,84,22,23,39,26.2
Joe Royle,43,38,8,10,20,21.1
John Carver,4,19,4,3,12,21.1
John Deehan,45,61,12,23,26,19.7
John Gorman,46,42,5,15,22,11.9
John Gregory,7,148,61,46,41,41.2
John Gregory,24,14,3,2,9,21.4
John Lyall,40,101,24,34,43,23.8
John Wark,40,3,0,2,1,0.0
José Mourinho,8,212,140,44,28,66.0
José Mourinho,1,93,50,26,17,53.8
José Mourinho,6,58,27,14,17,46.6
Juande Ramos,6,36,10,11,15,27.8
Julen Lopetegui,39,23,9,4,10,39.1
Julen Lopetegui,21,20,6,5,9,30.0
Jürgen Klopp,14,334,209,78,47,62.6
Keith Andrews,94,38,14,11,13,36.8
Keith Downing,35,5,1,3,1,20.0
Keith Millen,31,7,0,3,4,0.0
Kelvin Davis,20,1,0,0,1,0.0
Kenny Dalglish,5,126,72,28,26,57.1
Kenny Dalglish,4,56,19,19,18,33.9
Kenny Dalglish,14,56,24,13,19,42.9
Kevin Ball,56,12,1,2,9,8.3
Kevin Keegan,4,162,83,36,43,51.2
Kevin Keegan,43,105,33,29,43,31.4
Kevin Keen,21,3,0,0,3,0.0
Kevin MacDonald,13,4,1,1,2,25.0
Kevin MacDonald,7,3,2,0,1,66.7
Kieran McKenna,40,38,4,10,24,10.5
Lawrie Sanchez,54,22,3,8,11,13.6
Lennie Lawrence,25,42,11,11,20,26.2
Leon Britton,80,2,0,1,1,0.0
Les Reed,33,7,1,1,5,14.3
Liam Rosenior,8,13,5,2,6,38.5
Louis van Gaal,1,76,39,19,18,51.3
Luiz Felipe Scolari,8,25,14,7,4,56.0
Malky Mackay,97,18,4,5,9,22.2
Manuel Pellegrini,43,114,70,21,23,61.4
Manuel Pellegrini,21,57,20,11,26,35.1
Marcelo Bielsa,2,64,23,13,28,35.9
Marco Silva,54,152,58,31,63,38.2
Marco Silva,11,53,19,11,23,35.8
Marco Silva,57,24,7,5,12,29.2
Marco Silva,88,18,6,3,9,33.3
Mark Hudson,38,1,0,0,1,0.0
Mark Hughes,110,174,58,45,71,33.3
Mark Hughes,5,147,58,39,50,39.5
Mark Hughes,43,54,21,13,20,38.9
Mark Hughes,54,38,11,16,11,28.9
Mark Hughes,52,30,6,6,18,20.0
Mark Hughes,20,22,3,8,11,13.6
Mark McGhee,13,24,3,7,14,12.5
Martin Jol,6,113,47,30,36,41.6
Martin Jol,54,89,28,21,40,31.5
Martin O'Neill,7,152,61,53,38,40.1
Martin O'Neill,13,152,53,45,54,34.9
Martin O'Neill,56,56,16,17,23,28.6
Mauricio Pellegrino,20,30,5,13,12,16.7
Mauricio Pochettino,6,202,113,43,46,55.9
Mauricio Pochettino,20,54,19,18,17,35.2
Mauricio Pochettino,8,38,18,9,11,47.4
Maurizio Sarri,8,38,21,9,8,55.3
Michael Appleton,35,1,0,1,0,0.0
Michael Appleton,13,1,1,0,0,100.0
Michael Carrick,1,19,13,4,2,68.4
Michael Laudrup,80,62,17,19,26,27.4
Michael Skubala,2,3,0,1,2,0.0
Mick McCarthy,39,101,25,24,52,24.8
Mick McCarthy,56,37,2,4,31,5.4
Micky Adams,13,42,7,18,17,16.7
