rank,player_1_name,player_2_name,team,goals
1,Raúl Jiménez,Adama Traoré,Wolverhampton Wanderers,10
2,Anthony Martial,Marcus Rashford,Manchester United,7
3,Sergio Agüero,Kevin De Bruyne,Manchester City,6
4,Teemu Pukki,Todd Cantwell,Norwich City,5
5,Roberto Firmino,Mohamed Salah,Liverpool,5
