rank,player_1_name,player_2_name,team,goals
1,Kevin De Bruyne,Erling Haaland,Manchester City,10
2,Harry Kane,Son Heung-min,Tottenham Hotspur,6
3,Bruno Fernandes,Marcus Rashford,Manchester United,6
4,Ollie Watkins,Jacob Ramsey,Aston Villa,6
5,Phil Foden,Erling Haaland,Manchester City,6
