rank,player_1_name,player_2_name,team,goals
1,Ollie Watkins,Leon Bailey,Aston Villa,8
2,Chris Wood,Anthony Elanga,Nottingham Forest,7
3,Cole Palmer,Nicolas Jackson,Chelsea,7
4,Mohamed Salah,Darwin Núñez,Liverpool,6
5,Son Heung-Min,Brennan Johnson,Tottenham Hotspur,5
