rank,player_1_name,player_2_name,team,goals
1,Paolo Di Canio,Paulo Wanchope,West Ham United,7
2,Alan Shearer,Nolberto Solano,Newcastle United,6
3,Ryan Giggs,Dwight Yorke,Manchester United,5
4,David Beckham,Andrew Cole,Manchester United,5
5,Wim Jonk,Gilles De Bilde,Sheffield Wednesday,5
