rank,player_name,team,goals
1,Erling Haaland,Manchester City,27
2,Cole Palmer,Chelsea,22
3,Alexander Isak,Newcastle United,21
4,Dominic Solanke,Bournemouth,19
5,Ollie Watkins,Aston Villa,19
