rank,player_name,team,goals
1,Erling Haaland,Manchester City,36
2,Harry Kane,Tottenham Hotspur,30
3,Ivan Toney,Brentford,20
4,Mohamed Salah,Liverpool,19
5,Callum Wilson,Newcastle United,18
