rank,player_1_name,player_2_name,team,goals
1,Casemiro,Bruno Fernandes,Manchester United,6
2,Virgil van Dijk,Dominik Szoboszlai,Liverpool,5
3,Ollie Watkins,Morgan Rogers,Aston Villa,5
4,Bruno Fernandes,Benjamin Sesko,Manchester United,4
5,Bruno Fernandes,Patrick Dorgu,Manchester United,4
