player_name,season_label,match_week,cumulative_goals
Harry Kane,2019-20,10,6
Harry Kane,2019-20,11,6
Harry Kane,2019-20,12,6
Harry Kane,2019-20,13,7
Harry Kane,2019-20,14,7
Harry Kane,2019-20,15,7
Harry Kane,2019-20,16,9
Harry Kane,2019-20,17,9
Harry Kane,2019-20,18,9
Harry Kane,2019-20,19,10
Harry Kane,2019-20,20,11
Harry Kane,2019-20,21,11
Harry Kane,2019-20,22,11
Harry Kane,2019-20,23,11
Harry Kane,2019-20,24,11
Harry Kane,2019-20,25,11
Harry Kane,2019-20,26,11
Harry Kane,2019-20,27,11
Harry Kane,2019-20,28,11
Harry Kane,2019-20,29,11
Harry Kane,2019-20,30,11
Harry Kane,2019-20,31,12
Harry Kane,2019-20,32,13
Harry Kane,2019-20,33,13
Harry Kane,2019-20,34,13
Harry Kane,2019-20,35,13
Harry Kane,2019-20,36,15
Harry Kane,2019-20,37,17
Harry Kane,2019-20,38,18
Harry Kane,2020-21,1,0
Harry Kane,2020-21,2,1
Harry Kane,2020-21,3,1
Harry Kane,2020-21,4,3
Harry Kane,2020-21,5,5
Harry Kane,2020-21,6,5
Harry Kane,2020-21,7,6
Harry Kane,2020-21,8,7
Harry Kane,2020-21,9,7
Harry Kane,2020-21,10,7
Harry Kane,2020-21,11,8
Harry Kane,2020-21,12,9
Harry Kane,2020-21,13,9
Harry Kane,2020-21,14,9
Harry Kane,2020-21,15,9
Harry Kane,2020-21,16,10
Harry Kane,2020-21,17,11
Harry Kane,2020-21,18,12
Harry Kane,2020-21,19,12
Harry Kane,2020-21,20,12
Harry Kane,2020-21,21,12
Harry Kane,2020-21,22,13
Harry Kane,2020-21,23,13
Harry Kane,2020-21,24,13
Harry Kane,2020-21,25,14
Harry Kane,2020-21,26,14
Harry Kane,2020-21,27,16
Harry Kane,2020-21,28,16
Harry Kane,2020-21,29,17
Harry Kane,2020-21,30,19
Harry Kane,2020-21,31,19
Harry Kane,2020-21,32,21
Harry Kane,2020-21,33,21
Harry Kane,2020-21,34,21
Harry Kane,2020-21,35,21
Harry Kane,2020-21,36,22
Harry Kane,2020-21,37,22
Harry Kane,2020-21,38,23
Harry Kane,2021-22,1,0
Harry Kane,2021-22,2,0
Harry Kane,2021-22,3,0
Harry Kane,2021-22,4,0
Harry Kane,2021-22,5,0
Harry Kane,2021-22,6,0
Harry Kane,2021-22,7,0
Harry Kane,2021-22,8,1
Harry Kane,2021-22,9,1
Harry Kane,2021-22,10,1
Harry Kane,2021-22,11,1
Harry Kane,2021-22,12,1
Harry Kane,2021-22,13,1
Harry Kane,2021-22,14,1
Harry Kane,2021-22,15,2
Harry Kane,2021-22,16,3
Harry Kane,2021-22,17,4
Harry Kane,2021-22,18,4
Harry Kane,2021-22,19,5
Harry Kane,2021-22,20,5
Harry Kane,2021-22,21,5
Harry Kane,2021-22,22,5
Harry Kane,2021-22,23,7
Harry Kane,2021-22,24,7
Harry Kane,2021-22,25,8
Harry Kane,2021-22,26,10
Harry Kane,2021-22,27,11
Harry Kane,2021-22,28,12
Harry Kane,2021-22,29,12
Harry Kane,2021-22,30,12
Harry Kane,2021-22,31,12
Harry Kane,2021-22,32,12
Harry Kane,2021-22,33,12
Harry Kane,2021-22,34,13
Harry Kane,2021-22,35,13
Harry Kane,2021-22,36,15
Harry Kane,2021-22,37,16
Harry Kane,2021-22,38,17
Harry Kane,2022-23,1,0
Harry Kane,2022-23,2,1
Harry Kane,2022-23,3,2
Harry Kane,2022-23,4,4
Harry Kane,2022-23,5,4
Harry Kane,2022-23,6,5
Harry Kane,2022-23,7,6
Harry Kane,2022-23,8,7
Harry Kane,2022-23,9,8
Harry Kane,2022-23,10,9
Harry Kane,2022-23,11,9
Harry Kane,2022-23,12,10
Harry Kane,2022-23,13,10
Harry Kane,2022-23,14,11
Harry Kane,2022-23,15,12
Harry Kane,2022-23,16,13
Harry Kane,2022-23,17,13
Harry Kane,2022-23,18,15
Harry Kane,2022-23,19,15
Harry Kane,2022-23,20,15
Harry Kane,2022-23,21,16
Harry Kane,2022-23,22,17
Harry Kane,2022-23,23,17
Harry Kane,2022-23,24,17
Harry Kane,2022-23,25,18
Harry Kane,2022-23,26,18
Harry Kane,2022-23,27,20
Harry Kane,2022-23,28,21
Harry Kane,2022-23,29,22
Harry Kane,2022-23,30,23
Harry Kane,2022-23,31,23
Harry Kane,2022-23,32,24
Harry Kane,2022-23,33,24
Harry Kane,2022-23,34,25
Harry Kane,2022-23,35,26
Harry Kane,2022-23,36,27
Harry Kane,2022-23,37,28
Harry Kane,2022-23,38,30
Jamie Vardy,2019-20,1,0
Jamie Vardy,2019-20,2,0
Jamie Vardy,2019-20,3,1
Jamie Vardy,2019-20,4,3
Jamie Vardy,2019-20,5,3
Jamie Vardy,2019-20,6,3
Jamie Vardy,2019-20,7,5
Jamie Vardy,2019-20,8,5
Jamie Vardy,2019-20,9,6
Jamie Vardy,2019-20,10,9
Jamie Vardy,2019-20,11,10
Jamie Vardy,2019-20,12,11
Jamie Vardy,2019-20,13,12
Jamie Vardy,2019-20,14,13
Jamie Vardy,2019-20,15,14
Jamie Vardy,2019-20,16,16
Jamie Vardy,2019-20,17,16
Jamie Vardy,2019-20,18,17
Jamie Vardy,2019-20,19,17
Jamie Vardy,2019-20,20,17
Jamie Vardy,2019-20,21,17
Jamie Vardy,2019-20,22,17
Jamie Vardy,2019-20,23,17
Jamie Vardy,2019-20,24,17
Jamie Vardy,2019-20,25,17
Jamie Vardy,2019-20,26,17
Jamie Vardy,2019-20,27,17
Jamie Vardy,2019-20,28,17
Jamie Vardy,2019-20,29,19
Jamie Vardy,2019-20,30,19
Jamie Vardy,2019-20,31,19
Jamie Vardy,2019-20,32,19
Jamie Vardy,2019-20,33,21
Jamie Vardy,2019-20,34,22
Jamie Vardy,2019-20,35,23
Jamie Vardy,2019-20,36,23
Jamie Vardy,2019-20,37,23
Jamie Vardy,2019-20,38,23
Jamie Vardy,2020-21,1,2
Jamie Vardy,2020-21,2,2
Jamie Vardy,2020-21,3,5
Jamie Vardy,2020-21,4,5
Jamie Vardy,2020-21,5,5
Jamie Vardy,2020-21,6,6
Jamie Vardy,2020-21,7,7
Jamie Vardy,2020-21,8,8
Jamie Vardy,2020-21,9,8
Jamie Vardy,2020-21,10,8
Jamie Vardy,2020-21,11,9
Jamie Vardy,2020-21,12,10
Jamie Vardy,2020-21,13,10
Jamie Vardy,2020-21,14,11
Jamie Vardy,2020-21,15,11
Jamie Vardy,2020-21,16,11
Jamie Vardy,2020-21,17,11
Jamie Vardy,2020-21,18,11
Jamie Vardy,2020-21,19,11
Jamie Vardy,2020-21,20,11
Jamie Vardy,2020-21,21,11
Jamie Vardy,2020-21,22,11
Jamie Vardy,2020-21,23,11
Jamie Vardy,2020-21,24,12
Jamie Vardy,2020-21,25,12
Jamie Vardy,2020-21,26,12
Jamie Vardy,2020-21,27,12
Jamie Vardy,2020-21,28,12
Jamie Vardy,2020-21,29,12
Jamie Vardy,2020-21,30,12
Jamie Vardy,2020-21,31,12
Jamie Vardy,2020-21,32,13
Jamie Vardy,2020-21,33,13
Jamie Vardy,2020-21,34,13
Jamie Vardy,2020-21,35,13
Jamie Vardy,2020-21,36,13
Jamie Vardy,2020-21,37,13
Jamie Vardy,2020-21,38,15
Jamie Vardy,2021-22,1,1
Jamie Vardy,2021-22,2,1
Jamie Vardy,2021-22,3,2
Jamie Vardy,2021-22,4,2
Jamie Vardy,2021-22,5,3
Jamie Vardy,2021-22,6,5
Jamie Vardy,2021-22,7,6
Jamie Vardy,2021-22,8,7
Jamie Vardy,2021-22,9,7
Jamie Vardy,2021-22,10,7
Jamie Vardy,2021-22,11,7
Jamie Vardy,2021-22,12,7
Jamie Vardy,2021-22,13,9
Jamie Vardy,2021-22,14,9
Jamie Vardy,2021-22,15,9
Jamie Vardy,2021-22,16,9
Jamie Vardy,2021-22,17,9
Jamie Vardy,2021-22,18,9
Jamie Vardy,2021-22,19,9
Jamie Vardy,2021-22,20,9
Jamie Vardy,2021-22,21,9
Jamie Vardy,2021-22,22,9
Jamie Vardy,2021-22,23,9
Jamie Vardy,2021-22,24,10
Jamie Vardy,2021-22,25,10
Jamie Vardy,2021-22,26,10
Jamie Vardy,2021-22,27,10
Jamie Vardy,2021-22,28,10
Jamie Vardy,2021-22,29,10
Jamie Vardy,2021-22,30,10
Jamie Vardy,2021-22,31,10
Jamie Vardy,2021-22,32,10
Jamie Vardy,2021-22,33,10
Jamie Vardy,2021-22,34,10
Jamie Vardy,2021-22,35,12
Jamie Vardy,2021-22,36,14
Jamie Vardy,2021-22,37,14
Jamie Vardy,2021-22,38,15
Jamie Vardy,2022-23,1,0
Jamie Vardy,2022-23,2,0
Jamie Vardy,2022-23,3,0
Jamie Vardy,2022-23,4,0
Jamie Vardy,2022-23,5,0
Jamie Vardy,2022-23,6,0
Jamie Vardy,2022-23,7,0
Jamie Vardy,2022-23,8,0
Jamie Vardy,2022-23,9,0
Jamie Vardy,2022-23,10,0
Jamie Vardy,2022-23,11,0
Jamie Vardy,2022-23,12,1
Jamie Vardy,2022-23,13,1
Jamie Vardy,2022-23,14,1
Jamie Vardy,2022-23,15,1
Jamie Vardy,2022-23,16,1
Jamie Vardy,2022-23,17,1
Jamie Vardy,2022-23,18,1
Jamie Vardy,2022-23,19,1
Jamie Vardy,2022-23,20,1
Jamie Vardy,2022-23,21,1
Jamie Vardy,2022-23,22,1
Jamie Vardy,2022-23,23,1
Jamie Vardy,2022-23,24,1
Jamie Vardy,2022-23,25,1
Jamie Vardy,2022-23,26,1
Jamie Vardy,2022-23,27,1
Jamie Vardy,2022-23,28,1
Jamie Vardy,2022-23,29,1
Jamie Vardy,2022-23,30,1
Jamie Vardy,2022-23,31,1
Jamie Vardy,2022-23,32,1
Jamie Vardy,2022-23,33,2
Jamie Vardy,2022-23,34,3
Jamie Vardy,2022-23,35,3
Jamie Vardy,2022-23,36,3
Jamie Vardy,2022-23,37,3
Jamie Vardy,2022-23,38,3
Jamie Vardy,2024-25,1,1
Jamie Vardy,2024-25,2,1
Jamie Vardy,2024-25,3,1
Jamie Vardy,2024-25,4,2
Jamie Vardy,2024-25,5,2
Jamie Vardy,2024-25,6,2
Jamie Vardy,2024-25,7,2
Jamie Vardy,2024-25,8,3
Jamie Vardy,2024-25,9,4
Jamie Vardy,2024-25,10,4
Jamie Vardy,2024-25,11,4
Jamie Vardy,2024-25,12,4
Jamie Vardy,2024-25,13,4
Jamie Vardy,2024-25,14,5
Jamie Vardy,2024-25,15,6
Jamie Vardy,2024-25,16,6
Jamie Vardy,2024-25,17,6
Jamie Vardy,2024-25,18,6
Jamie Vardy,2024-25,19,6
Jamie Vardy,2024-25,20,6
Jamie Vardy,2024-25,21,6
Jamie Vardy,2024-25,22,6
Jamie Vardy,2024-25,23,7
Jamie Vardy,2024-25,24,7
Jamie Vardy,2024-25,25,7
Jamie Vardy,2024-25,26,7
Jamie Vardy,2024-25,27,7
Jamie Vardy,2024-25,28,7
Jamie Vardy,2024-25,29,7
Jamie Vardy,2024-25,30,7
Jamie Vardy,2024-25,31,7
Jamie Vardy,2024-25,32,7
Jamie Vardy,2024-25,33,7
Jamie Vardy,2024-25,34,7
Jamie Vardy,2024-25,35,8
Jamie Vardy,2024-25,36,8
Jamie Vardy,2024-25,37,9
Jamie Vardy,2024-25,38,9
Mohamed Salah,2019-20,1,1
Mohamed Salah,2019-20,2,1
Mohamed Salah,2019-20,3,3
Mohamed Salah,2019-20,4,3
Mohamed Salah,2019-20,5,4
Mohamed Salah,2019-20,6,4
Mohamed Salah,2019-20,7,4
Mohamed Salah,2019-20,8,4
Mohamed Salah,2019-20,9,4
Mohamed Salah,2019-20,10,5
Mohamed Salah,2019-20,11,5
Mohamed Salah,2019-20,12,6
Mohamed Salah,2019-20,13,6
Mohamed Salah,2019-20,14,6
Mohamed Salah,2019-20,15,6
Mohamed Salah,2019-20,16,7
Mohamed Salah,2019-20,17,9
Mohamed Salah,2019-20,18,9
Mohamed Salah,2019-20,19,9
Mohamed Salah,2019-20,20,10
Mohamed Salah,2019-20,21,10
Mohamed Salah,2019-20,22,11
Mohamed Salah,2019-20,23,11
Mohamed Salah,2019-20,24,12
Mohamed Salah,2019-20,25,14
Mohamed Salah,2019-20,26,14
Mohamed Salah,2019-20,27,15
Mohamed Salah,2019-20,28,15
Mohamed Salah,2019-20,29,16
Mohamed Salah,2019-20,30,16
Mohamed Salah,2019-20,31,17
Mohamed Salah,2019-20,32,17
Mohamed Salah,2019-20,33,17
Mohamed Salah,2019-20,34,19
Mohamed Salah,2019-20,35,19
Mohamed Salah,2019-20,36,19
Mohamed Salah,2019-20,37,19
Mohamed Salah,2019-20,38,19
Mohamed Salah,2020-21,1,3
Mohamed Salah,2020-21,2,3
Mohamed Salah,2020-21,3,3
Mohamed Salah,2020-21,4,5
Mohamed Salah,2020-21,5,6
Mohamed Salah,2020-21,6,6
Mohamed Salah,2020-21,7,7
Mohamed Salah,2020-21,8,8
Mohamed Salah,2020-21,9,8
Mohamed Salah,2020-21,10,8
Mohamed Salah,2020-21,11,9
Mohamed Salah,2020-21,12,10
Mohamed Salah,2020-21,13,11
Mohamed Salah,2020-21,14,13
Mohamed Salah,2020-21,15,13
Mohamed Salah,2020-21,16,13
Mohamed Salah,2020-21,17,13
Mohamed Salah,2020-21,18,13
Mohamed Salah,2020-21,19,13
Mohamed Salah,2020-21,20,13
Mohamed Salah,2020-21,21,15
Mohamed Salah,2020-21,22,15
Mohamed Salah,2020-21,23,16
Mohamed Salah,2020-21,24,17
Mohamed Salah,2020-21,25,17
Mohamed Salah,2020-21,26,17
Mohamed Salah,2020-21,27,17
Mohamed Salah,2020-21,28,17
Mohamed Salah,2020-21,29,17
Mohamed Salah,2020-21,30,18
Mohamed Salah,2020-21,31,19
Mohamed Salah,2020-21,32,19
Mohamed Salah,2020-21,33,20
Mohamed Salah,2020-21,34,20
Mohamed Salah,2020-21,35,21
Mohamed Salah,2020-21,36,22
Mohamed Salah,2020-21,37,22
Mohamed Salah,2020-21,38,22
Mohamed Salah,2021-22,1,1
Mohamed Salah,2021-22,2,1
Mohamed Salah,2021-22,3,2
Mohamed Salah,2021-22,4,3
Mohamed Salah,2021-22,5,4
Mohamed Salah,2021-22,6,5
Mohamed Salah,2021-22,7,6
Mohamed Salah,2021-22,8,7
Mohamed Salah,2021-22,9,10
Mohamed Salah,2021-22,10,10
Mohamed Salah,2021-22,11,10
Mohamed Salah,2021-22,12,11
Mohamed Salah,2021-22,13,11
Mohamed Salah,2021-22,14,13
Mohamed Salah,2021-22,15,13
Mohamed Salah,2021-22,16,14
Mohamed Salah,2021-22,17,15
Mohamed Salah,2021-22,18,15
Mohamed Salah,2021-22,19,15
Mohamed Salah,2021-22,20,16
Mohamed Salah,2021-22,21,16
