rank,player_1_name,player_2_name,team,goals
1,César Azpilicueta,Álvaro Morata,Chelsea,7
2,Roberto Firmino,Mohamed Salah,Liverpool,7
3,Jamie Vardy,Riyad Mahrez,Leicester City,7
4,Sadio Mané,Mohamed Salah,Liverpool,7
5,Marko Arnautovic,Manuel Lanzini,West Ham United,6
